index,drybulb,damp,glohorzrad,difhorzrad,t_sky,t_ground,wind_speed
108,0.09,0.8,490.38,92.88,249.07,3.67,1.0
109,1.88,0.59,255.52,72.16,252.78,7.44,1.0
110,3.0,0.37,389.97,73.86,254.78,9.7,6.0
111,3.32,0.24,262.27,49.68,254.7,9.99,6.0
112,3.3,0.2,117.34,22.23,252.91,8.63,6.0
113,3.16,0.23,0.0,0.0,249.93,6.13,6.0
114,2.84,0.3,0.0,0.0,246.32,3.02,6.0
115,2.44,0.38,0.0,0.0,242.56,-0.2,6.0
116,2.1,0.44,0.0,0.0,239.22,-3.0,5.0
117,1.89,0.46,0.0,0.0,236.76,-5.0,5.0
118,1.75,0.46,0.0,0.0,235.1,-6.31,5.0
119,1.56,0.45,0.0,0.0,234.0,-7.18,5.0
120,1.21,0.44,0.0,0.0,231.77,-7.85,5.0
121,0.59,0.46,0.0,0.0,231.13,-8.58,5.0
122,-0.4,0.5,0.0,0.0,230.31,-9.6,3.0
123,-1.81,0.56,0.0,0.0,229.15,-11.05,3.0
124,-3.43,0.62,0.0,0.0,227.88,-12.64,3.0
